place_freeform;latitude;longitude
Napajedla;49,17156;17,51194
Nasavrky;49,8445;15,80461
Nechanice;50,23737;15,63276
Nejdek;50,32242;12,72936
Neratovice;50,25926;14,51759
Neveklov;49,75373;14,53291
Nosislav;49,0138;16,65431
Nová Paka;50,49449;15,51503
Nová Včelnice;49,23935;15,0726
Nové Hrady;48,78963;14,77839
Nové Město na Moravě;49,56144;16,07418
Nové Město nad Metují;50,34456;16,15147
Nové Strašecí;50,15272;13,90043
Nový Bor;50,75761;14,55555
Nový Hrozenkov;49,33697;18,19793
Nový Jičín;49,59438;18,01028
Nový Knín;49,788;14,29355
Nučice;50,01848;14,22997
Nymburk;50,18605;15,04167
Obecnice;49,71615;13,94731
Odolena Voda;50,23341;14,41078
Odry;49,66255;17,83084
Ohrobec;49,94172;14,43203
Ochoz u Brna;49,25420199;16,73723244
Olomouc;49,59552;17,25175
Olšany;49,96509;16,85894
Opařany;49,39678;14,48137
Opava;49,93866;17,90257
Opočno;50,26742;16,1148
Ořechov;49,11118;16,52329
Oslavany;49,12335;16,33653
Ostrava;49,83465;18,28204
Ostrava;49,83465;18,28204
Ostrava-jih;49,773596;18,246202
Ostrava-Moravská Ostrava a Přívoz;49,83465;18,28204
Ostrava-střed;49,84452;18,248738
Ostrava-západ;49,816754;18,16977
Ostrov nad Oslavou;49,48682;15,98993
Ostrov u Macochy;49,38236;16,76268
Otrokovice;49,20934;17,53944
Pačejov;49,38789;13,6254
Palkovice;49,63467;18,31508
Pardubice;50,04075;15,77659
Paseka;49,79644;17,22276
Paskov;49,73179;18,29037
Pelhřimov;49,43134;15,22336
Petřvald;49,831;18,3894
Písek;49,3088;14,1475
Planá nad Lužnicí;49,35444;14,70147
Plaňany;50,0501;15,02944
Plumlov;49,46614;17,01502
Plzeň;49,74747;13,37759
Počátky;49,2602;15,24022
Poděbrady;50,14242;15,11881
Pohled;49,60365;15,64807
Pohořelice;48,98119;16,52445
Polešovice;49,0339;17,34064
Police nad Metují;50,53687;16,2335
Polička;49,71465;16,26543
Polná;49,487;15,71881
Postřelmov;49,90756;16,91226
Pozlovice;49,12921;17,76925
Pozořice;49,20976;16,79074
Praha;50,08804;14,42076
Praha-Běchovice;50,082262;14,640107
Praha-Černý Most;50,10185;14,554944
Praha-Holešovice;50,109265;14,427093
Praha-Horní Počernice;50,113642;14,613551
Praha-Hostivař;50,059182;14,560487
Praha-Jižní Město;50,027813;14,528625
Praha-Kobylisy;50,135971;14,457649
Praha-Kunratice;50,006967;14,486368
Praha-Letňany;50,144317;14,539156
Praha-Modřany;49,992447;14,42886
Praha-Pankrác;50,039869;14,440814
Praha-Radotín;50,00944;14,345813
Praha-Smíchov;50,055386;14,342271
Praha-střed;50,080539;14,42087
Praha-Šárka;50,104501;14,335547
Praha-Uhříněves;50,027443;14,619376
Praha-Vršovice;50,069462;14,494231
Praha-Vysočany;50,108621;14,506931
Praha-Žižkov;50,086441;14,469703
Prachatice;49,01292;13,99752
Prapořiště;49,3850922;13,0251758
Pražmo;49,60876;18,48617
Proseč;49,8059;16,11621
Prostějov;49,47188;17,11184
Protivín;49,19949;14,21717
Prušánky;48,8284;16,98068
Přelouč;50,03985;15,56031
Přerov;49,45511;17,4509
Přeštice;49,57298;13,3335
Příbor;49,64094;18,14499
Příbram;49,68988;14,01043
Přibyslav;49,57684;15,73855
Příchovice;49,56203;13,33935
Pustá Polom;49,84917;17,9979
Radim;50,07006;15,01244
Radnice;49,85677;13,6057
Rájec-Jestřebí;49,41094;16,63902
Rajhrad;49,09021;16,60388
Rakovník;50,1037;13,7334
Raná;49,7964;15,96412
Ratboř;49,97808;15,15924
Ratíškovice;48,92002;17,16561
Rokycany;49,7427;13,59459
Rokytnice nad Jizerou;50,72561;15,43357
Rokytnice u Přerova;49,4652439;17,3867475
Rokytnice v Orlických horách;50,16473346;16,46567487
Ronov nad Doubravou;49,88825;15,53144
Rosice;49,18232;16,38787
Roudnice;50,42528;14,26175
Roudnice nad Labem;50,42528;14,26175
Rousínov;49,20128;16,88215
Rovensko;50,53532;15,25941
Roztoky;50,15841;14,3976
Rožmitál pod Třemšínem;49,60196;13,8643
Rožnov;49,45853;18,14302
Rtyně v Podkrkonoší;50,50523;16,07187
Ruda nad Moravou;49,981;16,87782
Rudná;50,03502;14,23435
Rumburk;50,95151;14,55699
Rybí;49,60073;18,07592
Rychnov nad Kněžnou;50,16284;16,27488
Rychvald;49,86625;18,37626
Rýmařov;49,93183;17,27177
Řevnice;49,91395;14,23589
Říčany;49,99168;14,65427
Říčany;49,99168;14,65427
Sadská;50,13596;14,98633
Sedlčany;49,66057;14,42664
Semily;50,60191;15,33552
Senetářov;49,35468;16,80388
Senička;49,63222;17,05628
Sezemice;50,06651;15,8527
Sezimovo Ústí;49,38519;14,6848
Skalička;49,86667;16,85
Skoronice;48,98133;17,15343
Skuhrov nad Bělou;50,22946;16,2923
Skuteč;49,84347;15,99655
Slaný;50,23046;14,08693
Slatiňany;49,9211;15,81377
Slatinice;49,56155;17,09992
Slavičín;49,08799;17,87349
Slavkov u Brna;49,15325;16,87649
Slavonice;48,99753;15,35154
Slivice;49,6441897;14,0338208
Slušovice;49,24782;17,8015
Soběšovice;49,72489053;18,46619064
Sokolnice;49,11392;16,72156
Sokolov;50,1813;12,6409292
Spálené Poříčí;49,61371;13,60556
Spálov;49,70411;17,72241
Staňkov;49,55348;13,06976
Stará Boleslav;50,1955919;14,6750422
Staré Město;49,79399277;16,67492824
Staré Město;49,79399277;16,67492824
Staré Město pod Sněžníkem;50,1619181;16,9468583
Staré Město u Uherského Hradiště;49,0760244;17,4446228
Starý Jičín;49,57686;17,96169
Starý Kolín;50,00977;15,29388
Starý Plzenec;49,69768;13,4735
Staříč;49,68594;18,27281
Stěžery;50,21572;15,74831
Strakonice;49,26141;13,90237
Straky;50,23358;14,95924
Strašice;49,73552;13,75755
Strmilov;49,15846;15,19934
Střelice;49,15221;16,50399
